CC;European list coalition;alternative;national party;votes;comment
CY;Left;no alternative;Ανορθωτικό Κόμμα Εργαζόμενου Λαού;79163;
CY;indipendents;no alternative;Φειδίας Παναγιώτου (CY);71330;
CY;ECR;no alternative;Εθνικό Λαϊκό Μέτωπο;41215;
CY;PES;no alternative;Δημοκρατικό Κόμμα;35815;
CY;PES;no alternative;Κίνημα Σοσιαλδημοκρατών;18681;
CY;Greens;VOLT;Βολτ Κύπρος;10777;
CY;RENEW;ALDE;Δημοκρατική Παράταξη;7988;
CY;Greens;EGP;Κίνημα Οικολόγων - Συνεργασία Πολιτών;4742;
CY;none;no alternative;Ενεργοί πολίτες - Κίνημα Ενωμένων Κύπριων Κυνηγών;4603;
CY;APEU;APEU;Κόμμα για τα Ζώα Κύπρου;1013;
CY;none;no alternative;Κίνημα Εθνική Δράσις;979;
CY;indipendents;no alternative;Ανδρόνικος Ζερβίδης (CY);444;
CY;none;no alternative;Νίκη;389;
CZ;PfE;no alternative;ANO;776158;
CZ;EPP;no alternative;Koalice SPOLU pro volby do EP (ODS, KDU-ČSL, TOP 09);661250;
CZ;PfE;no alternative;Přísaha a Motoristé;304623;
CZ;Left;no alternative;Stačilo! (KSČM, SD-SN, ČSNS);283935;
CZ;EPP;no alternative;Starostové a osobnosti pro Evropu;258431;
CZ;Greens;EUPP;Piráti;184091;
CZ;ESN;no alternative;SPD a Trikolora;170172;
CZ;none;no alternative;PRO;63959;
CZ;PES;no alternative;Sociální demokracie;55260;
CZ;none;no alternative;Svobodní;52408;
CZ;Greens;EGP;Zelení;46127;
CZ;none;no alternative;Aliance za nezávislost ČR – proti přijetí eura!;14910;
CZ;none;no alternative;DSZ - za práva zvířat;12448;
CZ;none;no alternative;Lepší život pro lidi;10767;
CZ;coalition;no alternative;SEN 21 a Volt do Evropského parlamentu;9955;
CZ;RENEW;EDP;SEN21;8936;
CZ;Greens;VOLT;VOLT Cesko;1019;
CZ;none;no alternative;ČSSD;7579;
CZ;none;no alternative;Česká republika na 1. místě!;6897;
CZ;none;no alternative;Mourek;6759;
CZ;none;no alternative;LANO;6541;
CZ;none;no alternative;Ano lepší EU s mimozemšťany (zastavíme drahotu a válku);6479;
CZ;RENEW;ALDE;Hlas;6328;
CZ;none;no alternative;KAN;4561;
CZ;none;no alternative;Pro vystoupení z EU;3912;
CZ;none;no alternative;Volte Pravý Blok;3392;
CZ;none;no alternative;Koalice Švýcarská demokracie a SSPD-SP];2559;
CZ;none;no alternative;Nevolte Urza.cz.;2426;
CZ;Left;no alternative;Levice;2296;
CZ;none;no alternative;Referendum;2036;
CZ;none;no alternative;Senioři sobě;1563;
CZ;none;no alternative;Nový směr;1067;
DK;Greens;EGP;Socialistisk Folkeparti;426472;
DK;PES;no alternative;Socialdemokratiet;381125;
DK;RENEW;ALDE;Venstre;360212;
DK;EPP;no alternative;Det Konservative Folkeparti;216357;
DK;ECR;no alternative;DKsdemokraterne;180836;
DK;RENEW;ALDE;Radikale Venstre;173159;
DK;Left;no alternative;Enhedslisten;172287;
DK;EPP;no alternative;Liberal Alliance;170199;
DK;PfE;no alternative;Dansk Folkeparti;156014;
DK;RENEW;no alternative;Moderaterne;145698;
DK;Greens;DiEM25;Alternativet;65228;
EE;EPP;no alternative;Isamaa;79170;
EE;PES;no alternative;Sotsiaaldemokraatlik Erakond;71171;
EE;RENEW;ALDE;Eesti Reformierakond;66017;
EE;PfE;no alternative;Eesti Konservatiivne Rahvaerakond;54712;
EE;RENEW;ALDE;Eesti Keskerakond;45767;
EE;none;no alternative;Parempoolsed;25189;
EE;none;no alternative;Koos;11507;
EE;none;no alternative;Eesti 200;9584;
EE;Greens;EGP;Erakond Eestimaa Rohelised;2246;
EE;indipendents;no alternative;Independents (EE);2762;
FI;EPP;no alternative;Kansallinen Kokoomus;453636;
FI;Left;no alternative;Vasemmistoliitto;316859;
FI;PES;no alternative;Suomen sosialidemokraattinen puolue;272034;
FI;RENEW;ALDE;Suomen Keskusta;215165;
FI;Greens;EGP;Vihreä liitto;206332;
FI;ECR;no alternative;Perussuomalaiset;139160;
FI;RENEW;ALDE;Svenska folkpartiet i Suomi;112245;
FI;EPP;no alternative;Suomen Kristillisdemokraatit;75426;
FI;none;no alternative;Vapauden Liitto;16717;
FI;none;no alternative;Liike Nyt;9641;
FI;none;no alternative;Liberaalipuolue – Vapaus valita;7139;
FI;Left;no alternative;Suomen Kommunistinen Puolue;2815;
FI;none;no alternative;Avoin Puolue;1273;
FI;none;no alternative;Totuuspuolue;807;
FR;PfE;no alternative;La France revient! Avec Jordan Bardella et Marine le Pen;7765936;
FR;RENEW;EDP;Besoin d’Europe;3614646;
FR;PES;no alternative;Réveiller l'Europe;3424216;
FR;Left;no alternative;La France insoumise - Union populaire;2448703;
FR;EPP;no alternative;La droite pour faire entendre la voix de la France en Europe;1794171;
FR;Greens;EGP;Europe Écologie;1361883;
FR;ESN;no alternative;La France fière, menée par Marion Maréchal et soutenue par Éric Zemmour;1353127;
FR;Left;no alternative;Gauche unie pour le monde du travail soutenue par Fabien Roussel;584067;
FR;none;no alternative;Alliance rurale;582901;
FR;APEU;no alternative;Parti animaliste - Les animaux comptent, votre voix aussi;495936;
FR;none;no alternative;Écologie au centre;316136;
FR;none;no alternative;Liste Asselineau-Frexit, pour le pouvoir d'achat et pour la paix;253036;
FR;ECPM;no alternative;L'Europe ça suffit!;229190;
FR;none;no alternative;Lutte ouvrière le camp des travailleurs;121281;
FR;none;no alternative;Écologie positive et Territoires;104954;
FR;none;no alternative;Équinoxe: écologie pratique et renouveau démocratique;73002;
FR;Greens;VOLT;Europe Territoires Écologie;63482;
FR;none;no alternative;Pour un monde sans frontières ni patrons, urgence révolution!;37434;
FR;Greens;EUPP;Parti pirate;28119;
FR;FPP;no alternative;Free Palestine;14986;
FR;none;no alternative;Nous le peuple;13886;
FR;none;no alternative;Changer l'Europe;13068;
FR;none;no alternative;Espéranto langue commune;10349;
FR;none;no alternative;PACE - Parti des citoyens européens, pour l'armée européenne, pour l'Europe sociale, pour la planète!;7397;
FR;none;no alternative;France Libre;5474;
FR;none;no alternative;Défendre les enfants;5214;
FR;none;no alternative;Forteresse Europe — Liste d'unité nationaliste;5096;
FR;none;no alternative;«Pour le pain, la paix, la liberté!» présentée par le Parti des travailleurs;4120;
FR;none;no alternative;La ruche citoyenne;4038;
FR;none;no alternative;Paix et Décroissance;3726;
FR;none;no alternative;Pour une autre Europe;3688;
FR;none;no alternative;Non à l'UE et à l'OTAN, communistes pour la paix et le progrès social;3078;
FR;none;no alternative;Non! Prenons-nous en mains;1507;
FR;none;no alternative;Parti révolutionnaire Communistes;1497;
FR;none;no alternative;Pour une démocratie réelle: décidons nous-mêmes!;1443;
FR;none;no alternative;Pour une humanité souveraine;1230;
FR;none;no alternative;Liberté démocratique française;1007;
FR;none;no alternative;Démocratie représentative;749;
DE;EPP;no alternative;Christlich Demokratische Union Deutschlands;9431567;
DE;ESN;no alternative;Alternative für Deutschland;6324008;
DE;PES;no alternative;Sozialdemokratische Partei Deutschlands;5548528;
DE;Greens;EGP;Bündnis 90/Die Grünen;4736913;
DE;EPP;no alternative;Christlich-Soziale Union in Bayern;2513300;
DE;none;no alternative;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;2453652;
DE;RENEW;ALDE;Freie Demokratische Partei;2060457;
DE;Left;no alternative;Die Linke;1091268;
DE;RENEW;EDP;Freie Wähler;1062132;
DE;Greens;VOLT;Volt Deutschland;1023161;
DE;none;no alternative;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;775392;
DE;APEU;no alternative;Partei Mensch Umwelt Tierschutz;570498;
DE;none;no alternative;Ökologisch-Demokratische Partei;257968;
DE;none;no alternative;Familien-Partei Deutschlands;243975;
DE;none;no alternative;Partei des Fortschritts;227631;
DE;Greens;EUPP;Piratenpartei Deutschland;186773;
DE;none;no alternative;Aktion Partei für Tierschutz;173443;
DE;none;no alternative;Bündnis Deutschland;164477;
DE;none;no alternative;Demokratische Allianz für Vielfalt und Aufbruch;148724;
DE;Greens;DiEM25;MERA25 – Gemeinsam für Europäische Unabhängigkeit;118616;
DE;none;no alternative;Parlament aufmischen – Stimme der Letzten Generation;104340;
DE;none;no alternative;Basisdemokratische Partei Deutschland;99502;
DE;none;no alternative;Partei der Humanisten;82275;
DE;ECPM;no alternative;Bündnis C – Christen für Deutschland;75053;
DE;none;no alternative;V-Partei³ – Partei für Veränderung, Vegetarier und Veganer;55440;
DE;none;no alternative;Menschliche Welt;54098;
DE;none;no alternative;Die Heimat;41006;
DE;none;no alternative;Klimaliste Deutschland;31504;
DE;none;no alternative;Bündnis für Innovation & Gerechtigkeit;31141;
DE;none;no alternative;Partei der Vernunft;29508;
DE;none;no alternative;Aktion Bürger für Gerechtigkeit;26506;
DE;none;no alternative;Partei für schulmedizinische Verjüngungsforschung;18935;
DE;none;no alternative;Deutsche Kommunistische Partei;14945;
DE;none;no alternative;Marxistisch-Leninistische Partei Deutschlands;13553;
DE;none;no alternative;Sozialistische Gleichheitspartei, Vierte Internationale;5923;
EL;EPP;no alternative;Νέα Δημοκρατία;1125602;
EL;Left;no alternative;ΣΥΡΙΖΑ - ΠΣ;593133;
EL;PES;no alternative;ΠΑΣΟΚ - Κίνημα Αλλαγής;508399;
EL;ECR;no alternative;Ελληνική Λύση;369727;
EL;none;no alternative;Κομμουνιστικό Κόμμα ELς;367796;
EL;none;no alternative;Νίκη;173574;
EL;none;no alternative;Πλεύση Ελευθερίας;135310;
EL;PfE;no alternative;Φωνή Λογικής;120753;
EL;Greens;DiEM25;ΜέΡΑ25;101127;
EL;none;no alternative;Νέα Αριστερά;97554;
EL;RENEW;no alternative;Δημοκράτες;57496;
EL;none;no alternative;Πατριώτες;56100;
EL;Greens;EGP;Κόσμος;42762;
EL;none;no alternative;Συμμετέχω για την Εθνική Κυριαρχία και την Κύπρο;30600;
EL;Greens;EFA;Κόμμα Ισότητας, Ειρήνης και Φιλίας;28470;
EL;none;no alternative;Πράσινο Κίνημα;26555;
EL;none;no alternative;ΚΕΚΑ - ΑΚΚΕΛ, ΜΑΖΙ για μια Ελεύθερη Ελλάδα;20816;
EL;none;no alternative;Αντικαπιταλιστική Αριστερή Συνεργασία για την Ανατροπή;20603;
EL;none;no alternative;Δημιουργία;14024;
EL;none;no alternative;Ενιαίο Παλλαϊκό Μέτωπο;13816;
EL;none;no alternative;Κίνημα 21;12449;
EL;RENEW;EDP;Ένωση Κεντρώων;10933;
EL;none;no alternative;Συντηρητικοί;10146;
EL;none;no alternative;Λαϊκός Ορθόδοξος Συναγερμός;9936;
EL;none;no alternative;Εθνικό Μέτωπο;7572;
EL;none;no alternative;Ελλήνων Συνέλευσις;6980;
EL;none;no alternative;Μαρξιστικό-Λενινιστικό Κομμουνιστικό Κόμμα ELς;6836;
EL;none;no alternative;Κίνημα Εθνικής Ανεξαρτησίας;2465;
EL;none;no alternative;Οργάνωση Κομμουνιστών Διεθνιστών ELς;1973;
EL;none;no alternative;Οργάνωση για την Ανασυγκρότηση του ΚΚΕ;1615;
EL;none;no alternative;Ομογενειακό Δίκτυο Ελλήνων Ευρώπης;963;
HU;PfE;no alternative;Fidesz–KDNP;2048211;
HU;EPP;no alternative;TISZA;1352699;
HU;coalition;no alternative;DK–MSZP–Párbeszéd;367162;Split by won seats
HU;PES;no alternative;DK-MSZP;367162;
HU;Greens;EGP;Párbeszéd;0;
HU;ESN;no alternative;Mi Hazánk;306404;
HU;RENEW;ALDE;Momentum;169082;
HU;Greens;EUPP;MKKP;163960;
HU;ECPM;no alternative;Jobbik;45404;
HU;none;no alternative;LMP;39646;
HU;none;no alternative;2RK;30961;
HU;none;no alternative;MMN;29285;
HU;none;no alternative;MEMO;16806;
IE;EPP;no alternative;Fine Gael;362766;
IE;RENEW;ALDE;Fianna Fáil;356794;
IE;Left;no alternative;Sinn Féin;194403;
IE;RENEW;EDP;Independent Ireland;108685;
IE;PES;no alternative;Labour;58975;
IE;Greens;EGP;Green;93575;
IE;Left;no alternative;Inds. 4 Change;79658;
IE;none;no alternative;Aontú;65559;
IE;none;no alternative;Social Democrats;51571;
IE;none;no alternative;Ireland First;32667;
IE;Left;no alternative;PBP–Solidarity;31802;
IE;none;no alternative;Irish Freedom;29709;
IE;none;no alternative;National Party;12879;
IE;none;no alternative;Rabharta;11302;
IE;none;no alternative;The Irish People;11024;
IE;indipendents;no alternative;Independent (IE);243861;
IT;ECR;no alternative;Fratelli d'Italia;6725143;
IT;PES;no alternative;Partito Democratico;5638130;
IT;EPP;no alternative;Forza Italia - Noi moderati;2243245;
IT;EPP;no alternative;Südtiroler Volkspartei;120879;
IT;Left;no alternative;Movimento 5 Stelle;2333193;
IT;PfE;no alternative;Lega Salvini Premier;2099355;
IT;coalition;no alternative;Alleanza Verdi e Sinistra;1584885;
IT;Greens;EGP;Europa Verde;1056590;
IT;Left;no alternative;Sinistra Italiana;528295;
IT;RENEW;EDP;Stati Uniti d'Europa;882532;
IT;RENEW;ALDE;Azione - Siamo Europei;784357;
IT;Left;no alternative;Pace Terra Dignità;516823;
IT;none;no alternative;Libertà;285609;
IT;EPP;no alternative;Alternativa Popolare;91313;
IT;none;no alternative;Democrazia Sovrana e Popolare;36001;
IT;APEU;no alternative;Partito Animalista Italiano - Italexit per l'Italia;29525;
IT;none;no alternative;Rassemblement Valdôtain;14457;
LV;EPP;no alternative;Jaunā Vienotība;130557;
LV;ECR;no alternative;"Nacionālā apvienība ""Visu LTi!""—""Tēvzemei un Brīvībai/LNNK""";114853;
LV;RENEW;ALDE;LTs attīstībai (iepriekš AP!);48695;
LV;ECR;no alternative;Apvienotais saraksts (iepriekš LRA);42551;
LV;Greens;EGP;Progresīvie;38751;
LV;PES;no alternative;Saskaņa;37096;
LV;PfE;no alternative;Latvija pirmajā vietā;32034;
LV;ECPM;no alternative;Suverēnā vara;13623;
LV;none;no alternative;Zaļo un Zemnieku savienība;11852;
LV;none;no alternative;Apvienība Jaunlatvieši;11067;
LV;none;no alternative;Stabilitātei!;10307;
LV;none;no alternative;Centra partija;8924;
LV;none;no alternative;Jaunā konservatīvā partija;7797;
LV;none;no alternative;Tauta. Zeme. Valsts. (iepriekš KPV LV un LSSP);3017;
LV;none;no alternative;Tautas varas spēks;1779;
LV;none;no alternative;Kustība Par! (iepriekš AP!);1666;
LT;EPP;no alternative;Tėvynės sąjunga-Lietuvos krikščionys demokratai;144689;
LT;PES;no alternative;Lietuvos socialdemokratų partija;121929;
LT;ECR;no alternative;Lietuvos valstiečių ir žaliųjų sąjunga;61907;
LT;RENEW;ALDE;Laisvės partija;54916;
LT;Greens;EGP;Demokratų sąjunga „Vardan Lietuvos“;40365;
LT;ECR;no alternative;Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga;39202;
LT;ESN;no alternative;Tautos ir teisingumo sąjunga (centristai, tautininkai);36958;
LT;RENEW;ALDE;Liberalų sąjūdis;36739;
LT;none;no alternative;Lietuvos regionų partija;35614;
LT;none;no alternative;Lietuvos žaliųjų partija;27491;
LT;none;no alternative;Nacionalinis susivienijimas;25726;
LT;ECPM;no alternative;Taikos koalicija (Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija);23777;
LT;none;no alternative;Darbo partija;11238;
LT;none;no alternative;Krikščionių sąjunga;9310;
LT;none;no alternative;Partija „Laisvė ir teisingumas“;8458;
LU;EPP;no alternative;Chrëschtlech-Sozial Vollekspartei;317334;
LU;PES;no alternative;Lëtzebuerger Sozialistesch Aarbechterpartei;300879;
LU;RENEW;ALDE;Demokratesch Partei;253344;
LU;Greens;EGP;Déi Gréng;162955;
LU;ECR;no alternative;Alternativ Demokratesch Reformpartei;162849;
LU;Greens;EUPP;Piratepartei Lëtzebuerg;68085;
LU;Left;no alternative;Déi Lénk;43701;
LU;Left;no alternative;Fokus;22222;
LU;Greens;VOLT;Volt Lëtzebuerg;14348;
LU;none;no alternative;Kommunistesch Partei Lëtzebuerg;13368;
LU;none;no alternative;Mir d'Vollek;11838;
LU;none;no alternative;Déi Konservativ;8044;
LU;none;no alternative;Zesummen - d'Bréck;6172;
MT;PES;no alternative;Partit Laburista;117805;
MT;EPP;no alternative;Partit Nazzjonalista;109351;
MT;indipendents;no alternative;Arnold Cassola (MT);12706;
MT;none;no alternative;Imperium Europa;6816;
MT;indipendents;no alternative;Conrad Borg Manché (MT);5936;
MT;Greens;EGP;AD+PD;3109;
MT;ECPM;no alternative;ABBA;527;
MT;Greens;VOLT;Volt Malta;298;
MT;indipendents;no alternative;Other Independents (MT);3710;
NL;coalition;no alternative;GroenLinks–PvdA;1314428;
NL;Greens;EGP;GroenLinks;657214;
NL;PES;no alternative;Partij van de Arbeid;657214;
NL;PfE;no alternative;Partij voor de Vrijheid;1057662;
NL;RENEW;ALDE;Volkspartij voor Vrijheid en Democratie;707141;
NL;EPP;no alternative;Christian Democratic Appeal;589205;
NL;RENEW;ALDE;Democrats 66;523650;
NL;EPP;no alternative;BoerBurgerBeweging;336953;
NL;Greens;VOLT;Volt Nederland;319483;
NL;APEU;no alternative;Partij voor de Dieren;281600;
NL;EPP;no alternative;Nieuw Sociaal Contract;233564;
NL;ECPM;no alternative;Staatkundig Gereformeerde Partij;228036;
NL;ECPM;no alternative;ChristenUnie;180060;
NL;none;no alternative;Forum voor Democratie;155187;
NL;none;no alternative;Socialistische Partij;136978;
NL;RENEW;EDP;50PLUS;58498;
NL;ECR;no alternative;JA21;40570;
NL;coalition;no alternative;Pirate Party – The Greens;23764;
NL;Greens;EUPP;Piratenpartij;11882;
NL;Greens;no alternative;De Groenen;11882;
NL;none;no alternative;Belang van Nederland;23032;
NL;none;no alternative;More Direct Democracy;11295;
NL;none;no alternative;Nederland met een Plan;8360;
NL;none;no alternative;vandeRegio;2732;
PL;EPP;no alternative;KKW Koalicja Obywatelska;4359443;
PL;ECR;no alternative;Prawo i Sprawiedliwość;4253169;
PL;ESN;no alternative;Konfederacja Wolność i Niepodległość;1420287;
PL;coalition;no alternative;KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe;813238;
PL;EPP;no alternative;PSL;542159;
PL;RENEW;no alternative;Polska 2050;271079;
PL;PES;no alternative;KKW Lewica;741071;
PL;none;no alternative;KWW Bezpartyjni Samorządowcy – Normalna Polska w Normalnej Europie;108926;
PL;none;no alternative;PolEXIT;29195;
PL;none;no alternative;Normalny Kraj;20308;
PL;none;no alternative;Polska Liberalna Strajk Przedsiębiorców;9453;
PL;none;no alternative;Ruch Naprawy Polski;4737;
PL;none;no alternative;KWW Głos Silnej Polski;2167;
PT;PES;no alternative;Partido Socialista;1267106;
PT;EPP;no alternative;Aliança Democrática (PPD/PSD-CDS-PP-PPM);1228787;
PT;PfE;no alternative;CHEGA;386705;
PT;RENEW;ALDE;Iniciativa Liberal;358458;
PT;Left;no alternative;Bloco de Esquerda;168079;
PT;coalition;no alternative;Coligação Democrática Unitária (PCP-PEV);162769;
PT;Greens;EGP;LIVRE;148492;
PT;none;no alternative;Alternativa Democrática Nacional;54075;
PT;APEU;no alternative;Pessoas–Animais–Natureza;48044;
PT;Greens;VOLT;Volt Portugal;9572;
PT;none;no alternative;Ergue-te;8463;
PT;none;no alternative;Nova Direita;6448;
PT;none;no alternative;Reagir Incluir Reciclar;6397;
PT;none;no alternative;Movimento Alternativa Socialista;5057;
PT;none;no alternative;Partido da Terra;4610;
PT;none;no alternative;Partido Trabalhista Português;4307;
PT;none;no alternative;Nós, Cidadãos!;4242;
RO;coalition;no alternative;Alianța Electorală PSD-PNL;4341686;
RO;PES;no alternative;Partidul Social Democrat;2513608;
RO;EPP;no alternative;Partidul Național Liberal;1828078;
RO;ECR;no alternative;Alianța pentru Unirea Românilor;1334905;
RO;coalition;no alternative;Alianța Dreapta Unită;778901;Split by won seats
RO;RENEW;ALDE;Uniunea Salvați România;519267;
RO;EPP;no alternative;Partidul Mișcarea Populară;259634;
RO;EPP;no alternative;Forța Dreptei;0;
RO;EPP;no alternative;Uniunea Democrată Maghiară din România;579180;
RO;none;no alternative;S.O.S. România;450040;
RO;RENEW;ALDE;Reînnoim Proiectul European al României;334703;
RO;indipendents;no alternative;Candidat independent: Nicolae Ștefănuță (RO);275796;
RO;indipendents;no alternative;Candidat independent: Vlad Gheorghe (RO);221630;
RO;none;no alternative;Partidul Diaspora Unită;159943;
RO;PES;no alternative;Partidul Umanist Social Liberal;132402;
RO;indipendents;no alternative;Candidat independent: Dumitru-Silvestru Șoșoacă (RO);80244;
RO;none;no alternative;Partidul Patrioților;65440;
RO;none;no alternative;Partidul România Mare;59272;
RO;indipendents;no alternative;Candidat independent: Paula-Marinela Pîrvănescu (RO);51087;
RO;ECR;no alternative;Partidul Alternativa Dreaptă;40281;
RO;Left;no alternative;Alianța România Socialistă;37119;
SK;RENEW;ALDE;Progresívne Slovensko;410844;
SK;none;no alternative;SMER – sociálna demokracia;365794;
SK;ESN;no alternative;REPUBLIKA;185137;
SK;none;no alternative;HLAS – sociálna demokracia;106076;
SK;EPP;no alternative;Kresťanskodemokratické hnutie;105602;
SK;ECR;no alternative;Sloboda a Solidarita;72703;
SK;EPP;no alternative;Demokrati;69204;
SK;none;no alternative;Magyar Szövetség – Maďarská aliancia;57350;
SK;EPP;no alternative;SLOVENSKO, ZA ĽUDÍ;29385;
SK;none;no alternative;Slovenská národná strana;28102;
SK;none;no alternative;ZDRAVÝ ROZUM;13867;
SK;ECPM;no alternative;Kresťanská únia;9313;
SK;none;no alternative;Kotlebovci – Ľudová strana Naše Slovensko;7103;
SK;none;no alternative;Slovenský PATRIOT;5412;
SK;Left;no alternative;Komunistická strana Slovenska;2232;
SK;Greens;VOLT;Volt Slovensko;1923;
SK;none;no alternative;Socialisti.sk;1800;
SK;none;no alternative;SRDCE vlastenci a dôchodcovia – SLOVENSKÁ NÁRODNÁ JEDNOTA;1274;
SK;none;no alternative;MySlovensko;1214;
SK;none;no alternative;Spájame Občanov Slovenska – SOSK;1143;
SK;none;no alternative;SPOLOČNE OBČANIA SLOVENSKA;588;
SK;none;no alternative;Slovenská ľudová strana Andreja Hlinku;486;
SK;EPP;no alternative;Slovenská demokratická a kresťanská únia – Demokratická strana;416;
SI;EPP;no alternative;Slovenska demokratska stranka;206386;
SI;RENEW;no alternative;Gibanje Svoboda;149200;
SI;Greens;EGP;VESNA – zelena stranka;71023;
SI;PES;no alternative;Socialni demokrati;52390;
SI;EPP;no alternative;Nova Slovenija – krščanski demokrati;51812;
SI;EPP;no alternative;Slovenska ljudska stranka;48637;
SI;Left;no alternative;Levica;32436;
SI;none;no alternative;Državljansko gibanje Resni.ca;26767;
SI;RENEW;EDP;Demokratična stranka upokojencev Slovenije in Dobra država;14980;
SI;RENEW;no alternative;Zeleni Slovenije;10865;
SI;none;no alternative;Nič od tega;10263;
ES;EPP;no alternative;Partido Popular;5996627;
ES;PES;no alternative;Partido Socialista Obrero Español;5290945;
ES;PfE;no alternative;Vox;1688255;
