CC;European list coalition;alternative;national party;votes;comment;seats
BG;PES;no alternative;Българската социалистическа партия;141178;;2
BG;ECR;no alternative;Има такъв народ;121572;;1
BG;none;no alternative;Величие;81955;;0
BG;none;no alternative;Морал, единство, чест;51076;;0
BG;ECR;no alternative;ВМРО – Българско Национално Движение;42022;;0
BG;none;no alternative;Синя България;24917;;0
BG;Left;no alternative;Солидарна България;24685;;0
BG;none;no alternative;Център;20869;;0
BG;none;no alternative;Партията на зелените;17131;;0
BG;none;no alternative;Kuzman Iliev Iliev (Parteilos);11057;;0
BG;none;no alternative;Левицата!;10230;;0
BG;none;no alternative;Български възход;9510;;0
BG;Greens;EGP;Зелено движение;8347;;0
BG;none;no alternative;Глас народен;6921;;0
BG;none;no alternative;Пряка демокрация;5257;;0
BG;none;no alternative;Ние Идваме;4999;;0
BG;none;no alternative;Ние, гражданите;4937;;0
BG;none;no alternative;Единение;4302;;0
BG;none;no alternative;Български глас;2821;;0
BG;none;no alternative;Граждански блок;2310;;0
BG;none;no alternative;Коалиция на розите;2294;;0
BG;none;no alternative;Общество за нова България;2073;;0
BG;none;no alternative;Български национален съюз - Нова демокрация;1956;;0
BG;none;no alternative;За Велика България;1770;;0
BG;none;no alternative;Народна партия „Истината и само истината“;1733;;0
BG;none;no alternative;Българско национално обединение;983;;0
BG;none;no alternative;Български съюз за директна демокрация;895;;0
HR;EPP;no alternative;Hrvatska demokratska zajednica;256295;;6
HR;PES;no alternative;Socijaldemokratska partija Hrvatske;192314;;4
HR;ECR;no alternative;Domovinski pokret;65383;;1
HR;Greens;EGP;Možemo!;43890;;1
HR;RENEW;ALDE;ISTARSKI DEMOKRATSKI SABOR;41606;;0
HR;none;no alternative;Most nezavisnih lista–Bündnis;29824;;0
HR;none;no alternative;Pravo i Pravda;22214;;0
HR;none;no alternative;Odlučnost i pravednost;10219;;0
HR;none;no alternative;Ričard Nezavisni;8708;;0
HR;none;no alternative;Hrvatska stranka umirovljenika;5225;;0
HR;Left;no alternative;Radnička fronta;4684;;0
HR;none;no alternative;Umirovljenici zajedno–Bündnis;4294;;0
HR;none;no alternative;Pokret za životinje;3044;;0
HR;none;no alternative;Agrarna stranka - Pokret za hrvatsku poljoprivredu;2819;;0
HR;none;APEU;Stranka Ivana Pernara;2259;;0
HR;none;no alternative;Zelena alternativa – Održivi razvoj Hrvatske;1617;;0
HR;none;no alternative;Autohtona – Hrvatska stranka prava;1386;;0
HR;none;no alternative;Republika;1086;;0
HR;none;no alternative;Pokret za modernu Hrvatsku;991;;0
HR;none;no alternative;Hrvatska Stranka Građanskog Otpora;973;;0
HR;none;no alternative;Dalmatinska akcija;959;;0
HR;none;no alternative;Pravedna Hrvatska;957;;0
HR;none;no alternative;Javno Dobro;763;;0
HR;indipendents;no alternative;independents (HR);39;;0
CY;EPP;no alternative;Δημοκρατικός Συναγερμός;91316;;2
CY;Left;no alternative;Ανορθωτικό Κόμμα Εργαζόμενου Λαού;79163;;1
CY;indipendents;no alternative;Φειδίας Παναγιώτου (CY);71330;;1
CY;ECR;no alternative;Εθνικό Λαϊκό Μέτωπο;41215;;1
CY;PES;no alternative;Δημοκρατικό Κόμμα;35815;;1
CY;PES;no alternative;Κίνημα Σοσιαλδημοκρατών;18681;;0
CY;Greens;VOLT;Βολτ Κύπρος;10777;;0
CY;RENEW;ALDE;Δημοκρατική Παράταξη;7988;;0
CY;Greens;EGP;Κίνημα Οικολόγων - Συνεργασία Πολιτών;4742;;0
CY;none;no alternative;Ενεργοί πολίτες - Κίνημα Ενωμένων Κύπριων Κυνηγών;4603;;0
CY;APEU;APEU;Κόμμα για τα Ζώα Κύπρου;1013;;0
CY;none;no alternative;Κίνημα Εθνική Δράσις;979;;0
CY;indipendents;no alternative;Ανδρόνικος Ζερβίδης (CY);444;;0
CY;none;no alternative;Νίκη;389;;0
CZ;PfE;no alternative;ANO;776158;;7
CZ;coalition;no alternative;Koalice SPOLU pro volby do EP (ODS, KDU-ČSL, TOP 09);661250;votes split by seats;0
CZ;EPP;no alternative; Tradice Odpovědnost Prosperita, Křesťanská a demokratická unie – Československá strana lidová);330625;;3
CZ;ECR;no alternative;Občanská demokratická strana;330625;;3
CZ;PfE;no alternative;Přísaha a Motoristé;304623;;2
CZ;Left;no alternative;Stačilo! (KSČM, SD-SN, ČSNS);283935;;2
CZ;EPP;no alternative;Starostové a osobnosti pro Evropu;258431;;2
CZ;Greens;EUPP;Piráti;184091;;1
CZ;ESN;no alternative;SPD a Trikolora;170172;;1
CZ;none;no alternative;PRO;63959;;0
CZ;PES;no alternative;Sociální demokracie;55260;;0
CZ;none;no alternative;Svobodní;52408;;0
CZ;Greens;EGP;Zelení;46127;;0
CZ;none;no alternative;Aliance za nezávislost ČR – proti přijetí eura!;14910;;0
CZ;none;no alternative;DSZ - za práva zvířat;12448;;0
CZ;none;no alternative;Lepší život pro lidi;10767;;0
CZ;coalition;no alternative;SEN 21 a Volt do Evropského parlamentu;9955;;0
CZ;RENEW;EDP;SEN21;8936;;0
CZ;Greens;VOLT;VOLT Cesko;1019;;0
CZ;none;no alternative;ČSSD;7579;;0
CZ;none;no alternative;Česká republika na 1. místě!;6897;;0
CZ;none;no alternative;Mourek;6759;;0
CZ;none;no alternative;LANO;6541;;0
CZ;none;no alternative;Ano lepší EU s mimozemšťany (zastavíme drahotu a válku);6479;;0
CZ;RENEW;ALDE;Hlas;6328;;0
CZ;none;no alternative;KAN;4561;;0
CZ;none;no alternative;Pro vystoupení z EU;3912;;0
CZ;none;no alternative;Volte Pravý Blok;3392;;0
CZ;none;no alternative;Koalice Švýcarská demokracie a SSPD-SP];2559;;0
CZ;none;no alternative;Nevolte Urza.cz.;2426;;0
CZ;Left;no alternative;Levice;2296;;0
CZ;none;no alternative;Referendum;2036;;0
CZ;none;no alternative;Senioři sobě;1563;;0
CZ;none;no alternative;Nový směr;1067;;0
DK;Greens;EGP;Socialistisk Folkeparti;426472;;3
DK;PES;no alternative;Socialdemokratiet;381125;;3
DK;RENEW;ALDE;Venstre;360212;;2
DK;EPP;no alternative;Det Konservative Folkeparti;216357;;1
DK;ECR;no alternative;DKsdemokraterne;180836;;1
DK;RENEW;ALDE;Radikale Venstre;173159;;1
DK;Left;no alternative;Enhedslisten;172287;;1
DK;EPP;no alternative;Liberal Alliance;170199;;1
DK;PfE;no alternative;Dansk Folkeparti;156014;;1
DK;RENEW;no alternative;Moderaterne;145698;;1
DK;Greens;DiEM25;Alternativet;65228;;0
EE;EPP;no alternative;Isamaa;79170;;2
EE;PES;no alternative;Sotsiaaldemokraatlik Erakond;71171;;2
EE;RENEW;ALDE;Eesti Reformierakond;66017;;1
EE;PfE;no alternative;Eesti Konservatiivne Rahvaerakond;54712;;1
EE;RENEW;ALDE;Eesti Keskerakond;45767;;1
EE;none;no alternative;Parempoolsed;25189;;0
EE;none;no alternative;Koos;11507;;0
EE;none;no alternative;Eesti 200;9584;;0
EE;Greens;EGP;Erakond Eestimaa Rohelised;2246;;0
EE;indipendents;no alternative;Independents (EE);2762;;0
FI;EPP;no alternative;Kansallinen Kokoomus;453636;;4
FI;Left;no alternative;Vasemmistoliitto;316859;;3
FI;PES;no alternative;Suomen sosialidemokraattinen puolue;272034;;2
FI;RENEW;ALDE;Suomen Keskusta;215165;;2
FI;Greens;EGP;Vihreä liitto;206332;;2
FI;ECR;no alternative;Perussuomalaiset;139160;;1
FI;RENEW;ALDE;Svenska folkpartiet i Suomi;112245;;1
FI;EPP;no alternative;Suomen Kristillisdemokraatit;75426;;0
FI;none;no alternative;Vapauden Liitto;16717;;0
FI;none;no alternative;Liike Nyt;9641;;0
FI;none;no alternative;Liberaalipuolue – Vapaus valita;7139;;0
FI;Left;no alternative;Suomen Kommunistinen Puolue;2815;;0
FI;none;no alternative;Avoin Puolue;1273;;0
FI;none;no alternative;Totuuspuolue;807;;0
FR;PfE;no alternative;La France revient! Avec Jordan Bardella et Marine le Pen;7765936;;30
FR;RENEW;EDP;Besoin d’Europe;3614646;;13
FR;PES;no alternative;Réveiller l'Europe;3424216;;13
FR;Left;no alternative;La France insoumise - Union populaire;2448703;;9
FR;EPP;no alternative;La droite pour faire entendre la voix de la France en Europe;1794171;;6
FR;Greens;EGP;Europe Écologie;1361883;;5
FR;ESN;no alternative;La France fière, menée par Marion Maréchal et soutenue par Éric Zemmour;1353127;;5
FR;Left;no alternative;Gauche unie pour le monde du travail soutenue par Fabien Roussel;584067;;0
FR;none;no alternative;Alliance rurale;582901;;0
FR;APEU;no alternative;Parti animaliste - Les animaux comptent, votre voix aussi;495936;;0
FR;none;no alternative;Écologie au centre;316136;;0
FR;none;no alternative;Liste Asselineau-Frexit, pour le pouvoir d'achat et pour la paix;253036;;0
FR;ECPM;no alternative;L'Europe ça suffit!;229190;;0
FR;none;no alternative;Lutte ouvrière le camp des travailleurs;121281;;0
FR;none;no alternative;Écologie positive et Territoires;104954;;0
FR;none;no alternative;Équinoxe: écologie pratique et renouveau démocratique;73002;;0
FR;Greens;VOLT;Europe Territoires Écologie;63482;;0
FR;none;no alternative;Pour un monde sans frontières ni patrons, urgence révolution!;37434;;0
FR;Greens;EUPP;Parti pirate;28119;;0
FR;FPP;no alternative;Free Palestine;14986;;0
FR;none;no alternative;Nous le peuple;13886;;0
FR;none;no alternative;Changer l'Europe;13068;;0
FR;none;no alternative;Espéranto langue commune;10349;;0
FR;none;no alternative;PACE - Parti des citoyens européens, pour l'armée européenne, pour l'Europe sociale, pour la planète!;7397;;0
FR;none;no alternative;France Libre;5474;;0
FR;none;no alternative;Défendre les enfants;5214;;0
FR;none;no alternative;Forteresse Europe — Liste d'unité nationaliste;5096;;0
FR;none;no alternative;«Pour le pain, la paix, la liberté!» présentée par le Parti des travailleurs;4120;;0
FR;none;no alternative;La ruche citoyenne;4038;;0
FR;none;no alternative;Paix et Décroissance;3726;;0
FR;none;no alternative;Pour une autre Europe;3688;;0
FR;none;no alternative;Non à l'UE et à l'OTAN, communistes pour la paix et le progrès social;3078;;0
FR;none;no alternative;Non! Prenons-nous en mains;1507;;0
FR;none;no alternative;Parti révolutionnaire Communistes;1497;;0
FR;none;no alternative;Pour une démocratie réelle: décidons nous-mêmes!;1443;;0
FR;none;no alternative;Pour une humanité souveraine;1230;;0
FR;none;no alternative;Liberté démocratique française;1007;;0
FR;none;no alternative;Démocratie représentative;749;;0
DE;EPP;no alternative;Christlich Demokratische Union Deutschlands;9431567;;23
DE;ESN;no alternative;Alternative für Deutschland;6324008;;15
DE;PES;no alternative;Sozialdemokratische Partei Deutschlands;5548528;;14
DE;Greens;EGP;Bündnis 90/Die Grünen;4736913;;12
DE;EPP;no alternative;Christlich-Soziale Union in Bayern;2513300;;6
DE;none;no alternative;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;2453652;;6
DE;RENEW;ALDE;Freie Demokratische Partei;2060457;;5
DE;Left;no alternative;Die Linke;1091268;;3
DE;RENEW;EDP;Freie Wähler;1062132;;3
DE;Greens;VOLT;Volt Deutschland;1023161;;3
DE;none;no alternative;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;775392;;2
DE;APEU;no alternative;Partei Mensch Umwelt Tierschutz;570498;;1
DE;none;no alternative;Ökologisch-Demokratische Partei;257968;;1
DE;ECPM;no alternative;Familien-Partei Deutschlands;243975;;1
DE;none;no alternative;Partei des Fortschritts;227631;;1
DE;Greens;EUPP;Piratenpartei Deutschland;186773;;0
DE;none;no alternative;Aktion Partei für Tierschutz;173443;;0
DE;none;no alternative;Bündnis Deutschland;164477;;0
DE;none;no alternative;Demokratische Allianz für Vielfalt und Aufbruch;148724;;0
DE;Greens;DiEM25;MERA25 – Gemeinsam für Europäische Unabhängigkeit;118616;;0
DE;none;no alternative;Parlament aufmischen – Stimme der Letzten Generation;104340;;0
DE;none;no alternative;Basisdemokratische Partei Deutschland;99502;;0
DE;none;no alternative;Partei der Humanisten;82275;;0
DE;ECPM;no alternative;Bündnis C – Christen für Deutschland;75053;;0
DE;none;no alternative;V-Partei³ – Partei für Veränderung, Vegetarier und Veganer;55440;;0
DE;none;no alternative;Menschliche Welt;54098;;0
DE;none;no alternative;Die Heimat;41006;;0
DE;none;no alternative;Klimaliste Deutschland;31504;;0
DE;none;no alternative;Bündnis für Innovation & Gerechtigkeit;31141;;0
DE;none;no alternative;Partei der Vernunft;29508;;0
DE;none;no alternative;Aktion Bürger für Gerechtigkeit;26506;;0
DE;none;no alternative;Partei für schulmedizinische Verjüngungsforschung;18935;;0
DE;none;no alternative;Deutsche Kommunistische Partei;14945;;0
DE;none;no alternative;Marxistisch-Leninistische Partei Deutschlands;13553;;0
DE;none;no alternative;Sozialistische Gleichheitspartei, Vierte Internationale;5923;;0
EL;EPP;no alternative;Νέα Δημοκρατία;1125602;;7
EL;Left;no alternative;ΣΥΡΙΖΑ - ΠΣ;593133;;4
EL;PES;no alternative;ΠΑΣΟΚ - Κίνημα Αλλαγής;508399;;3
EL;ECR;no alternative;Ελληνική Λύση;369727;;2
EL;none;no alternative;Κομμουνιστικό Κόμμα ELς;367796;;2
EL;none;no alternative;Νίκη;173574;;1
EL;none;no alternative;Πλεύση Ελευθερίας;135310;;1
EL;PfE;no alternative;Φωνή Λογικής;120753;;1
EL;Greens;DiEM25;ΜέΡΑ25;101127;;0
EL;none;no alternative;Νέα Αριστερά;97554;;0
EL;RENEW;no alternative;Δημοκράτες;57496;;0
EL;none;no alternative;Πατριώτες;56100;;0
EL;Greens;EGP;Κόσμος;42762;;0
EL;none;no alternative;Συμμετέχω για την Εθνική Κυριαρχία και την Κύπρο;30600;;0
EL;Greens;EFA;Κόμμα Ισότητας, Ειρήνης και Φιλίας;28470;;0
EL;none;no alternative;Πράσινο Κίνημα;26555;;0
EL;none;no alternative;ΚΕΚΑ - ΑΚΚΕΛ, ΜΑΖΙ για μια Ελεύθερη Ελλάδα;20816;;0
EL;none;no alternative;Αντικαπιταλιστική Αριστερή Συνεργασία για την Ανατροπή;20603;;0
EL;none;no alternative;Δημιουργία;14024;;0
EL;none;no alternative;Ενιαίο Παλλαϊκό Μέτωπο;13816;;0
EL;none;no alternative;Κίνημα 21;12449;;0
EL;RENEW;EDP;Ένωση Κεντρώων;10933;;0
EL;none;no alternative;Συντηρητικοί;10146;;0
EL;none;no alternative;Λαϊκός Ορθόδοξος Συναγερμός;9936;;0
EL;none;no alternative;Εθνικό Μέτωπο;7572;;0
EL;none;no alternative;Ελλήνων Συνέλευσις;6980;;0
EL;none;no alternative;Μαρξιστικό-Λενινιστικό Κομμουνιστικό Κόμμα ELς;6836;;0
EL;none;no alternative;Κίνημα Εθνικής Ανεξαρτησίας;2465;;0
EL;none;no alternative;Οργάνωση Κομμουνιστών Διεθνιστών ELς;1973;;0
EL;none;no alternative;Οργάνωση για την Ανασυγκρότηση του ΚΚΕ;1615;;0
EL;none;no alternative;Ομογενειακό Δίκτυο Ελλήνων Ευρώπης;963;;0
HU;PfE;no alternative;Fidesz–KDNP;2048211;;11
HU;EPP;no alternative;TISZA;1352699;;7
HU;coalition;no alternative;DK–MSZP–Párbeszéd;367162;Split by won seats;0
HU;PES;no alternative;DK-MSZP;367162;;2
HU;Greens;EGP;Párbeszéd;0;;0
HU;ESN;no alternative;Mi Hazánk;306404;;1
HU;RENEW;ALDE;Momentum;169082;;0
HU;Greens;EUPP;MKKP;163960;;0
HU;ECPM;no alternative;Jobbik;45404;;0
HU;none;no alternative;LMP;39646;;0
HU;none;no alternative;2RK;30961;;0
HU;none;no alternative;MMN;29285;;0
HU;none;no alternative;MEMO;16806;;0
IE;EPP;no alternative;Fine Gael;362766;;4
IE;RENEW;ALDE;Fianna Fáil;356794;;4
IE;Left;no alternative;Sinn Féin;194403;;2
IE;RENEW;EDP;Independent Ireland;108685;;1
IE;PES;no alternative;Labour;58975;;1
IE;Greens;EGP;Green;93575;;0
IE;Left;no alternative;Inds. 4 Change;79658;;0
IE;none;no alternative;Aontú;65559;;0
IE;none;no alternative;Social Democrats;51571;;0
IE;none;no alternative;Ireland First;32667;;0
IE;Left;no alternative;PBP–Solidarity;31802;;0
IE;none;no alternative;Irish Freedom;29709;;0
IE;none;no alternative;National Party;12879;;0
IE;none;no alternative;Rabharta;11302;;0
IE;none;no alternative;The Irish People;11024;;0
IE;indipendents;no alternative;Independent (IE);243861;;2
IT;ECR;no alternative;Fratelli d'Italia;6725143;;24
IT;PES;no alternative;Partito Democratico;5638130;;21
IT;EPP;no alternative;Forza Italia - Noi moderati;2243245;;8
IT;EPP;no alternative;Südtiroler Volkspartei;120879;;1
IT;Left;no alternative;Movimento 5 Stelle;2333193;;8
IT;PfE;no alternative;Lega Salvini Premier;2099355;;8
IT;coalition;no alternative;Alleanza Verdi e Sinistra;1584885;;0
IT;Greens;EGP;Europa Verde;1056590;;4
IT;Left;no alternative;Sinistra Italiana;528295;;2
IT;RENEW;EDP;Stati Uniti d'Europa;882532;;0
IT;RENEW;ALDE;Azione - Siamo Europei;784357;;0
IT;Left;no alternative;Pace Terra Dignità;516823;;0
IT;none;no alternative;Libertà;285609;;0
IT;EPP;no alternative;Alternativa Popolare;91313;;0
IT;none;no alternative;Democrazia Sovrana e Popolare;36001;;0
IT;APEU;no alternative;Partito Animalista Italiano - Italexit per l'Italia;29525;;0
IT;none;no alternative;Rassemblement Valdôtain;14457;;0
LV;EPP;no alternative;Jaunā Vienotība;130557;;2
LV;ECR;no alternative;Nacionālā apvienība "Visu LTi!"—"Tēvzemei un Brīvībai/LNNK";114853;;2
LV;RENEW;ALDE;LTs attīstībai (iepriekš AP!);48695;;1
LV;ECR;no alternative;Apvienotais saraksts (iepriekš LRA);42551;;1
LV;Greens;EGP;Progresīvie;38751;;1
LV;PES;no alternative;Saskaņa;37096;;1
LV;PfE;no alternative;Latvija pirmajā vietā;32034;;1
LV;ECPM;no alternative;Suverēnā vara;13623;;0
LV;none;no alternative;Zaļo un Zemnieku savienība;11852;;0
LV;none;no alternative;Apvienība Jaunlatvieši;11067;;0
LV;none;no alternative;Stabilitātei!;10307;;0
LV;none;no alternative;Centra partija;8924;;0
LV;none;no alternative;Jaunā konservatīvā partija;7797;;0
LV;none;no alternative;Tauta. Zeme. Valsts. (iepriekš KPV LV un LSSP);3017;;0
LV;none;no alternative;Tautas varas spēks;1779;;0
LV;none;no alternative;Kustība Par! (iepriekš AP!);1666;;0
LT;EPP;no alternative;Tėvynės sąjunga-Lietuvos krikščionys demokratai;144689;;3
LT;PES;no alternative;Lietuvos socialdemokratų partija;121929;;2
LT;ECR;no alternative;Lietuvos valstiečių ir žaliųjų sąjunga;61907;;1
LT;RENEW;ALDE;Laisvės partija;54916;;1
LT;Greens;EGP;Demokratų sąjunga „Vardan Lietuvos“;40365;;1
LT;ECR;no alternative;Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga;39202;;1
LT;ESN;no alternative;Tautos ir teisingumo sąjunga (centristai, tautininkai);36958;;1
LT;RENEW;ALDE;Liberalų sąjūdis;36739;;1
LT;none;no alternative;Lietuvos regionų partija;35614;;0
LT;none;no alternative;Lietuvos žaliųjų partija;27491;;0
LT;none;no alternative;Nacionalinis susivienijimas;25726;;0
LT;ECPM;no alternative;Taikos koalicija (Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija);23777;;0
LT;none;no alternative;Darbo partija;11238;;0
LT;none;no alternative;Krikščionių sąjunga;9310;;0
LT;none;no alternative;Partija „Laisvė ir teisingumas“;8458;;0
LU;EPP;no alternative;Chrëschtlech-Sozial Vollekspartei;317334;;2
LU;PES;no alternative;Lëtzebuerger Sozialistesch Aarbechterpartei;300879;;1
LU;RENEW;ALDE;Demokratesch Partei;253344;;1
LU;Greens;EGP;Déi Gréng;162955;;1
LU;ECR;no alternative;Alternativ Demokratesch Reformpartei;162849;;1
LU;Greens;EUPP;Piratepartei Lëtzebuerg;68085;;0
LU;Left;no alternative;Déi Lénk;43701;;0
LU;Left;no alternative;Fokus;22222;;0
LU;Greens;VOLT;Volt Lëtzebuerg;14348;;0
LU;none;no alternative;Kommunistesch Partei Lëtzebuerg;13368;;0
LU;none;no alternative;Mir d'Vollek;11838;;0
LU;none;no alternative;Déi Konservativ;8044;;0
LU;none;no alternative;Zesummen - d'Bréck;6172;;0
MT;PES;no alternative;Partit Laburista;117805;;3
MT;EPP;no alternative;Partit Nazzjonalista;109351;;3
MT;indipendents;no alternative;Arnold Cassola (MT);12706;;0
MT;none;no alternative;Imperium Europa;6816;;0
MT;indipendents;no alternative;Conrad Borg Manché (MT);5936;;0
MT;Greens;EGP;AD+PD;3109;;0
MT;ECPM;no alternative;ABBA;527;;0
MT;Greens;VOLT;Volt Malta;298;;0
MT;indipendents;no alternative;Other Independents (MT);3710;;0
NL;coalition;no alternative;GroenLinks–PvdA;1314428;;0
NL;Greens;EGP;GroenLinks;657214;;4
NL;PES;no alternative;Partij van de Arbeid;657214;;4
NL;PfE;no alternative;Partij voor de Vrijheid;1057662;;6
NL;RENEW;ALDE;Volkspartij voor Vrijheid en Democratie;707141;;4
NL;EPP;no alternative;Christian Democratic Appeal;589205;;3
NL;RENEW;ALDE;Democrats 66;523650;;3
NL;EPP;no alternative;BoerBurgerBeweging;336953;;2
NL;Greens;VOLT;Volt Nederland;319483;;2
NL;APEU;no alternative;Partij voor de Dieren;281600;;1
NL;EPP;no alternative;Nieuw Sociaal Contract;233564;;1
NL;ECPM;no alternative;Staatkundig Gereformeerde Partij;228036;;1
NL;ECPM;no alternative;ChristenUnie;180060;;0
NL;none;no alternative;Forum voor Democratie;155187;;0
NL;none;no alternative;Socialistische Partij;136978;;0
NL;RENEW;EDP;50PLUS;58498;;0
NL;ECR;no alternative;JA21;40570;;0
NL;coalition;no alternative;Pirate Party – The Greens;23764;;0
NL;Greens;EUPP;Piratenpartij;11882;;0
NL;Greens;no alternative;De Groenen;11882;;0
NL;none;no alternative;Belang van Nederland;23032;;0
NL;none;no alternative;More Direct Democracy;11295;;0
NL;none;no alternative;Nederland met een Plan;8360;;0
NL;none;no alternative;vandeRegio;2732;;0
PL;EPP;no alternative;KKW Koalicja Obywatelska;4359443;;21
PL;ECR;no alternative;Prawo i Sprawiedliwość;4253169;;20
PL;ESN;no alternative;Konfederacja Wolność i Niepodległość;1420287;;6
PL;coalition;no alternative;KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe;813238;;0
PL;EPP;no alternative;PSL;542159;;2
PL;RENEW;no alternative;Polska 2050;271079;;1
PL;PES;no alternative;KKW Lewica;741071;;3
PL;none;no alternative;KWW Bezpartyjni Samorządowcy – Normalna Polska w Normalnej Europie;108926;;0
PL;none;no alternative;PolEXIT;29195;;0
PL;none;no alternative;Normalny Kraj;20308;;0
PL;none;no alternative;Polska Liberalna Strajk Przedsiębiorców;9453;;0
PL;none;no alternative;Ruch Naprawy Polski;4737;;0
PL;none;no alternative;KWW Głos Silnej Polski;2167;;0
PT;PES;no alternative;Partido Socialista;1267106;;8
PT;EPP;no alternative;Aliança Democrática (PPD/PSD-CDS-PP-PPM);1228787;;7
PT;PfE;no alternative;CHEGA;386705;;2
PT;RENEW;ALDE;Iniciativa Liberal;358458;;2
PT;Left;no alternative;Bloco de Esquerda;168079;;1
PT;Left;no alternative;Coligação Democrática Unitária (PCP-PEV);162769;;1
PT;Greens;EGP;LIVRE;148492;;0
PT;none;no alternative;Alternativa Democrática Nacional;54075;;0
PT;APEU;no alternative;Pessoas–Animais–Natureza;48044;;0
PT;Greens;VOLT;Volt Portugal;9572;;0
PT;none;no alternative;Ergue-te;8463;;0
PT;none;no alternative;Nova Direita;6448;;0
PT;none;no alternative;Reagir Incluir Reciclar;6397;;0
PT;none;no alternative;Movimento Alternativa Socialista;5057;;0
PT;none;no alternative;Partido da Terra;4610;;0
PT;none;no alternative;Partido Trabalhista Português;4307;;0
PT;none;no alternative;Nós, Cidadãos!;4242;;0
RO;coalition;no alternative;Alianța Electorală PSD-PNL;4341686;;0
RO;PES;no alternative;Partidul Social Democrat;2513608;;11
RO;EPP;no alternative;Partidul Național Liberal;1828078;;8
RO;ECR;no alternative;Alianța pentru Unirea Românilor;1334905;;6
RO;coalition;no alternative;Alianța Dreapta Unită;778901;Split by won seats;0
RO;RENEW;ALDE;Uniunea Salvați România;519267;;2
RO;EPP;no alternative;Partidul Mișcarea Populară;259634;;1
RO;EPP;no alternative;Forța Dreptei;0;;0
RO;EPP;no alternative;Uniunea Democrată Maghiară din România;579180;;2
RO;none;no alternative;S.O.S. România;450040;;2
RO;RENEW;ALDE;Reînnoim Proiectul European al României;334703;;0
RO;Greens;no alternative;Candidat independent: Nicolae Ștefănuță (RO);275796;;1
RO;indipendents;no alternative;Candidat independent: Vlad Gheorghe (RO);221630;;0
RO;none;no alternative;Partidul Diaspora Unită;159943;;0
RO;PES;no alternative;Partidul Umanist Social Liberal;132402;;0
RO;indipendents;no alternative;Candidat independent: Dumitru-Silvestru Șoșoacă (RO);80244;;0
RO;none;no alternative;Partidul Patrioților;65440;;0
RO;none;no alternative;Partidul România Mare;59272;;0
RO;indipendents;no alternative;Candidat independent: Paula-Marinela Pîrvănescu (RO);51087;;0
RO;ECR;no alternative;Partidul Alternativa Dreaptă;40281;;0
RO;Left;no alternative;Alianța România Socialistă;37119;;0
SK;RENEW;ALDE;Progresívne Slovensko;410844;;6
SK;none;no alternative;SMER – sociálna demokracia;365794;;5
SK;ESN;no alternative;REPUBLIKA;185137;;2
